fraser_annings_conservative_national_party_ordinary_votes, socialist_alliance_ordinary_votes, labor_ordinary_votes, latitude, longitude,post_code, polling_place_name, state, division_name, australian_democrats_ordinary_votes, non_affiliated_candidates_ordinary_votes, the_greens_ordinary_votes, national_party_ordinary_votes, australian_progressives_ordinary_votes, christian_democratic_party_fred_nile_group_ordinary_votes, centre_alliance_ordinary_votes, australian_workers_party_ordinary_votes, western_australia_party_ordinary_votes, division_id, liberal_democrats_ordinary_votes, liberal_ordinary_votes, the_nationals_ordinary_votes, australia_first_party_ordinary_votes, polling_place_id, united_australia_party_ordinary_votes, informal_ordinary_votes, katters_australian_party_kap_ordinary_votes, polling_place_type_id, socialist_equality_party_ordinary_votes
null,null,null,-37.7735328,144.9791956,3057,Brunswick East (Melbourne),VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,39,null,null,93181,4,13,null,1,null
null,null,28,-32.9221412,151.6924596,2031,Special Hospital Team 3,NSW,Newcastle,null,null,3,null,null,0,null,null,null,136,null,15,null,null,93498,0,1,null,2,null
null,null,null,-35.4153694,149.0678568,2900,Tuggeranong CANBERRA PPVC,ACT,Canberra,null,null,105,null,17,null,null,null,null,101,null,192,null,null,93960,14,12,null,5,null
null,null,null,-35.3442899,149.0863288,2606,Woden CANBERRA PPVC,ACT,Canberra,null,null,829,null,107,null,null,null,null,101,null,2191,null,null,93961,89,173,null,5,null
null,null,null,-35.2391,149.074,2617,Belconnen (Canberra),ACT,Canberra,null,null,125,null,10,null,null,null,null,101,null,114,null,null,93968,10,14,null,1,null
null,null,null,-35.2398,149.042,2614,Page (Canberra),ACT,Canberra,null,null,79,null,10,null,null,null,null,101,null,146,null,null,93976,16,12,null,1,null
null,null,null,-35.3459732,149.1007821,2605,Special Hospital Team 6,ACT,Canberra,null,null,12,null,1,null,null,null,null,101,null,10,null,null,93984,1,2,null,2,null
null,null,null,-35.2445739,149.124741,2602,Special Hospital Team 7,ACT,Canberra,null,null,6,null,1,null,null,null,null,101,null,16,null,null,93998,1,1,null,2,null
1,3,null,-27.4362285,152.9844757,4060,Dorrington (Brisbane),QLD,Brisbane,null,null,124,null,null,null,null,null,null,156,null,null,null,null,94468,7,9,null,1,null
null,null,null,-34.91925,138.62267,5067,Kent Town (Adelaide),SA,Adelaide,0,null,25,null,null,null,null,null,null,179,null,44,null,null,96623,2,1,null,1,null
null,null,null,-34.926,138.549,5032,Brooklyn Park (Adelaide),SA,Adelaide,7,null,62,null,null,null,null,null,null,179,null,173,null,null,96647,23,25,null,1,null
null,null,null,-34.90785,138.54733,5025,Flinders Park (Adelaide),SA,Adelaide,4,null,53,null,null,null,null,null,null,179,null,181,null,null,96649,15,23,null,1,null
null,null,null,-37.8373706,144.9967821,3141,South Yarra MELBOURNE PPVC,VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,292,null,null,97463,11,42,null,5,null
null,null,null,-37.8093711,144.9956606,2753,Richmond PPVC,VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,2267,null,null,97466,140,371,null,5,null
null,null,null,-35.2327253,149.081474,2617,Special Hospital Team 8,ACT,Canberra,null,null,11,null,0,null,null,null,null,101,null,8,null,null,97477,0,3,null,2,null
0,0,null,-27.4465865,153.0280495,2031,Special Hospital Team 4,QLD,Brisbane,null,null,0,null,null,null,null,null,null,156,null,null,null,null,97496,0,0,null,2,null
0,0,null,-27.4465865,153.0280495,2031,Special Hospital Team 5,QLD,Brisbane,null,null,0,null,null,null,null,null,null,156,null,null,null,null,97498,1,0,null,2,null
0,1,null,-27.4465865,153.0280495,2605,Special Hospital Team 6,QLD,Brisbane,null,null,2,null,null,null,null,null,null,156,null,null,null,null,97499,0,1,null,2,null
1,8,null,-27.4292301,153.0179628,4051,Wilston,QLD,Brisbane,null,null,210,null,null,null,null,null,null,156,null,null,null,null,97530,5,30,null,1,null
null,null,514,-33.8893114,151.2323296,2021,Paddington SYDNEY PPVC,NSW,Sydney,null,null,141,null,null,3,null,null,null,149,null,349,null,null,97540,19,15,null,5,null
null,null,940,-33.9018677,151.1789377,2042,Newtown SYDNEY PPVC,NSW,Sydney,null,null,418,null,null,6,null,null,null,149,null,275,null,null,97561,25,55,null,5,null
null,null,1138,-33.8745809,151.222717,2011,Kings Cross SYDNEY PPVC,NSW,Sydney,null,null,305,null,null,9,null,null,null,149,null,727,null,null,97562,29,54,null,5,null
null,null,902,-33.9237987,151.210766,2018,Eastlakes SYDNEY PPVC,NSW,Sydney,null,null,194,null,null,41,null,null,null,149,null,735,null,null,97564,45,97,null,5,null
null,null,2120,-33.8822725,151.2066793,2000,Central Sydney SYDNEY PPVC,NSW,Sydney,null,null,662,null,null,34,null,null,null,149,null,786,null,null,97566,52,130,null,5,null
null,null,153,-33.8825375,151.2062488,2000,Central Sydney NORTH SYDNEY PPVC,NSW,North Sydney,null,null,68,null,null,0,null,null,null,137,null,164,null,null,97584,5,15,null,5,null
null,null,859,-33.8761055,151.1783737,2037,Glebe SYDNEY PPVC,NSW,Sydney,null,null,305,null,null,15,null,null,null,149,null,423,null,null,97595,17,30,null,5,null
